ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-52102-2;Die Bekenntnisschriften der Evangelisch-Lutherischen Kirche;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-58180-3;Weltreligionen;Meyer, Karlo;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36084-3;Johannes Haller;Hasselhorn, Benjamin;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30418-2;V 3 Laches;Platon;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70210-0;Wir sind alle 'andere';-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40192-7;Ehrenamtliche Sterbebegleitung;Heinemann, Wolfgang /Müller, Monika;20131211;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-70167-6;Feinfühlig arbeiten mit Kindern;Staats, Hermann;20140122;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-30170-8;Umkämpftes Essen;-;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-26411-0;Interaktive Fachdidaktik Latein;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30171-6;Ambivalenzen des Übergangs;Dietze, Antje;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30075-6;Russisch-jüdische Gegenwart in Deutschland;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40430-0;Schreib es dir von der Seele;Heimes, Silke;20110817;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-57034-1;Aschkenas in Jerusalem;Kraft, Christian;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-52201-1;Handbuch pfingstliche und charismatische Theologie;-;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99668-4;Das Ende des Holocaust;Rosenfeld, Alvin H.;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-90033-9;VIVA 1 Lehrerband - Ausgabe Bayern;Bartoszek, Verena /Datené, Verena;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56007-5;Tolstoj als theologischer Denker und Kirchenkritiker;-;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-37033-0;Geschlechtergeschichten der Neuzeit ;Bock, Gisela;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40228-4;Störungsspezifische Psychodramatherapie;Krüger, Reinhard T.;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49096-9;Systemische Beratung in fünf Gängen;Brüggemann, Helga /Ehret-Ivankovic, Kristina;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-56713-6;Versöhnung;Wenz, Gunther;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77011-6;Feste in den Weltreligionen;Zimmermann, Mirjam;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36966-2;Verfolgte Schüler;Kwiatkowski-Celofiga, Tina;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30071-8;Von der Hauptstadtposse zur Erfolgsgeschichte;Bussenius, Daniel;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77301-7;Abiturwissen Evangelische Religion;Richardt, Max W.;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31019-9;Das Archiv der Stasi;-;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-50342-3;Liederkunde zum Evangelischen Gesangbuch. Heft 19;-;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30167-9;Loyal Subversion?;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40252-8;Kultur - Entwicklung - Beratung;Borke, Jörn /Kärtner, Joscha;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40123-2;Lehrbuch der Psychodynamik;Mentzos, Stavros;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57021-0;Calvin and the Independence of the Church;Speelman, Herman;20140122;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-55088-6;Calvin and the Book;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10105-7;'In unserer Liebe nicht glücklich';-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10117-0;Theologian of Sin and Grace;Ilic, Luka;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54022-0;Hebrew Bible / Old Testament. III: From Modernism to Post-Modernism;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36081-1;Spuren der Begegnung;Fischer-Kattner, Anke;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-80009-6;Politikserien;-;20141215;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-62432-6;'Was soll man da in Gottes Namen sagen?';Sturm, Wilfried;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-63054-0;Erinnerungsfeste;-;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56412-7;Raum Gottes;Wüthrich, Matthias;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54034-3;Am Anfang ...;Bührer, Walter;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56417-2;Verheißene Gegenwart;Klinge, Hendrik;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-45188-6;Handbuch Trauerbegegnung und -begleitung;Brathuhn, Sylvia /Müller, Monika;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40365-5;Straining: Eine subtile Art von Mobbing;Ege, Harald;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37037-7;Missratene Söhne;Kosuch, Carolin;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55085-5;Symphonia Catholica;Han Ph.D., Byung Soo;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40461-4;Das späte Echo von Kriegskindheiten;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55912-3;Pietismus und Neuzeit Band 40 - 2014;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-58181-0;Paket "Gemeindearbeit praktisch";-;20150512;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55091-5;Paul Althaus, Karl Barth, Emil Brunner;Jasper, Gotthard;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-49154-6;Die Lust am Tabubruch;Kraft, Hartmut;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40458-5;Schreib dich gesund;Heimes, Silke;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-52104-5;Die Bekenntnisschriften der Evangelisch-Lutherischen Kirche;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40454-7;Tiefenpsychologie trifft Systemtherapie;Graf, Gabriele /Rieforth, Joseph;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40247-4;The Trinity of Trauma: Ignorance, Fragility, and Control;Nijenhuis, Ellert;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-54392-4;A “Religious Revolution” in Yehûd?;-;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30079-5;Grabgesang der Demokratie;Schletter, Christian;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-63056-3;Dienst am Wort Sonderausgabe Jugendliche und Konfirmation;Koranyi, Max /Persch, Gabriele;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40361-8;Handbuch Interkulturelle Öffnung;-;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30171-5;Ambivalenzen des Übergangs;Dietze, Antje;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36967-9;Auslese für die Siedlergesellschaft;Fiebrandt, Maria;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-10136-0;Fürstinnen und Konfession;-;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40191-0;System und Körper;-;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40222-1;Schulversagen?;Bonney, Helmut /Bonney, Juliane;20150422;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-37040-8;Protest, Parteien, Interventionsstaat;Puhle, Hans-Jürgen;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-71071-6;Ovid, Verwandlungsgeschichten;Hellmich, Michaela;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40218-5;Ängstliche Kinder unterstützen;Lebowitz, Eli /Omer, Haim;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36722-4;Scham – zur sozialen Bedeutung eines Gefühls im spätmittelalterlichen England;Behrens, Katharina;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54037-4;Devianz und Dynamik;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71001-2;Lernzirkel zum ablativus absolutus;Drumm, Julia;20140917;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-53461-8;Der Klemensroman;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70171-3;BUDS 4-36;Günster-Schöning, Ursula /Tonn, Melanie;20150128;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36083-6;'Nit wenig verwunderns und nachgedenkens';-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40375-4;Das Problem, der Spruch, die Lösung;Kühling, Ludger;20150617;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-77009-2;Technik - Leben - Religion;Gather, Johannes /Gronover, Matthias;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
