ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-55067-1;Philip Melanchthon and the Cappadocians;Hall, H. Ashley;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-50173-4;Jerusalem;Küchler, Max;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99670-7;Das Evangelium nach Matthäus;Konradt, Matthias;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10117-9;Theologian of Sin and Grace;Ilic, Luka;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-50343-0;Liederkunde zum Evangelischen Gesangbuch. Heft 20;-;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99583-0;Wahrgenommene Individualität;Schmidt, Jochen;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55079-4;Reformation und Rationalität;-;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77014-7;Luthers Meisterwerk - Eine Bibelübersetzung macht Karriere;Käbisch, David /Palkowitsch-Kühl, Jens;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55086-2;Orthodox, Puritan, Baptist;Weaver, Jr., G. Stephen;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70211-6;Anforderungssituationen im kompetenzorientierten Religionsunterricht;Bürig-Heinze, Susanne /Rösener, Christiane;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40237-6;Trauergruppen leiten;Müller, Monika;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99649-3;Wie hältst du's mit dem Tod?;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70177-5;BUDS 4–36. Kartensatz für 10 Kinder;Günster-Schöning, Ursula /Tonn, Melanie;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
