9783899715330;['4000695-5', '4020531-9', '4200793-8']
9783899715989;[]
9783899714531;['4131753-1', '4018428-6', '4033569-0', '4184808-1', '4120503-0']
9783899712681;['118505602', '4136410-7', '4113748-6', '4113292-0', '4035964-5', '4136410-7', '4113748-6']
9783899716931;['4131753-1', '4365203-7', '4048849-4', '4170174-4', '4069008-8']
9783899711301;['4039687-3', '4035964-5', '4372433-4']
9783899715385;['119352540', '118693522', '4013657-7', '4047538-4', '4125698-0', '4014770-8', '4047538-4', '4136343-7', '4076374-2', '4043271-3', '118756117', '4040034-7', '4049716-1', '4014777-0', '4036774-5']
9783899711141;['4011882-4', '4064811-4', '4073644-1', '1038114020']
9783899712186;['4006406-2', '4066559-8', '4136645-1', '4060560-7', '4058167-6', '4049412-3']
9783899715866;['4043465-5', '4561974-8']
9783899715644;['4011882-4', '4020535-6', '4200793-8', '4120448-7', '4043271-3', '4020535-6', '4200793-8', '4120448-7', '4053881-3', '4020535-6', '4200793-8', '4120448-7']
9783899712728;['118820958', '4071867-0', '4015602-3', '118820958', '4074972-1']
9783899719833;['118599631', '4050479-7', '4062809-7', '118599631', '4605581-2', '4017102-4']
9783899713763;['11858314X']
9783899711028;['4011882-4', '4263077-0', '4003749-6', '4136795-9', '4011882-4', '4263077-0', '4003749-6', '4033569-0']
9783899713855;['4078704-7', '4128226-7', '4011893-9', '4189594-0', '4113292-0', '4128226-7', '4001671-7', '4189594-0', '4078704-7', '4165687-8', '4189594-0', '4011882-4', '4078704-7', '4047710-1', '4189594-0', '4011882-4']
9783899712568;['118608045', '4445128-3', '4006650-2', '4005248-5', '118608045', '4845179-4', '118608045', '4445128-3', '4054404-7', '4177729-3', '118608045', '4845179-4', '118608045', '4049412-3']
9783899711387;['4065654-8', '4015602-3']
9783899712353;[]
9783899713015;['4027833-5', '4003846-4']
9783899715262;['118594095', '7669552-9', '4154344-0', '100967701', '7669566-9', '4154344-0', '118505114', '4347240-0', '4154344-0']
9783899713220;['ISBN nicht bei DNB vorhanden']
9783899714869;['118593234', '4317742-6', '4399198-1', '4145195-8', '118593234', '4049716-1']
9783899713053;[]
9783899711943;['4047000-3', '4176263-0']
9783899714043;[]
9783899712117;['4010074-1', '4245202-8', '4053474-1', '4157237-3', '4076308-0', '4018522-9', '4049412-3']
9783899718355;['4042226-4', '4031881-3']
9783899711783;['4011882-4', '4131215-6']
9783899718614;['4011882-4', '4236708-6', '7573652-4']
9783899711639;['4011882-4', '4061963-1', '4043774-7', '4170215-3', '4227897-1']
9783899713244;['4011882-4', '4071045-2', '4035117-8']
9783899716146;['4028859-6', '4049428-7', '4153261-2']
9783899715774;['119248727', '118757199', '119248727', '118757199', '4011882-4', '4122135-7', '4128969-9', '4014770-8']
9783899712377;['4113475-8', '4176272-1', '4115645-6', '4113475-8', '4142176-0', '4115645-6']
9783899711820;['4011882-4', '4153496-7', '4140005-7', '4131753-1']
9783899714616;['118684043', '4041421-8']
9783899712469;['4011882-4', '4066794-7', '4121624-6']
9783899711936;['4011882-4', '4020871-0', '4013954-2', '4115712-6']
9783899713893;['ISBN nicht bei DNB vorhanden']
9783899716061;['4113292-0', '4003939-0', '4027808-6', '4071061-0', '4075594-0']
9783899715668;['4015701-5', '4005248-5', '4125698-0']
9783899713336;['4011882-4', '4677847-0', '4186613-7', '4177251-9', '4194193-7', '4131753-1', '4948637-8']
9783899712247;['4015701-5', '4077587-2', '4077570-7', '4013960-8', '4212404-9']
9783899711332;['4757299-1']
9783899711608;['4011882-4', '4131385-9', '4116552-4']
9783899712407;['4072395-1', '4076536-2', '4049412-3', '4045660-2', '4041771-2', '4159400-9', '4073436-5', '4015833-0', '4073436-5', '4035419-2']
9783899714975;['119095076', '4122228-3', '4200793-8']
9783899713428;['4116568-8', '4069996-1', '4378168-8', '120651513']
9783899715484;['4011882-4', '4023909-3']
9783899715453;['7603053-2']
9783899715293;['4128597-9', '4046559-7', '4134262-8']
9783899712988;['4011882-4', '4225768-2', '4055754-6', '4410380-3', '4123981-7', '4032386-9', '4011882-4', '4056730-8', '4055754-6', '4410380-3', '4450741-0', '4309013-8']
